id,page,juz,surah,description,start
223,223,Juz 12,11. Hud,,أَمْ يَقُولُونَ افْتَرَاهُ
224,224,Juz 12,11. Hud,,أُولَئِكَ لَمْ يَكُونُوا
225,225,Juz 12,11. Hud,,وَيَاقَوْمِ لَا أَسْأَلُكُمْ
226,226,Juz 12,11. Hud,,وَيَصْنَعُ الْفُلْكَ وَكُلَّمَا
227,227,Juz 12,11. Hud,,قَالَ يَانُوحُ إِنَّهُ
228,228,Juz 12,11. Hud,,إِنْ نَقُولُ إِلَّا
229,229,Juz 12,11. Hud,,قَالَ يَاقَوْمِ أَرَأَيْتُمْ
230,230,Juz 12,11. Hud,,قَالَتْ يَاوَيْلَتَى أَأَلِدُ
231,231,Juz 12,11. Hud,,فَلَمَّا جَاءَ أَمْرُنَا
232,232,Juz 12,11. Hud,,وَيَاقَوْمِ لَا يَجْرِمَنَّكُمْ
233,233,Juz 12,11. Hud,,يَقْدُمُ قَوْمَهُ يَوْمَ
234,234,Juz 12,11. Hud,11 Hud End,فَلَا تَكُ فِي
235,235,Juz 12,12. Yusuf,12 Yusuf Start,وَلَوْ شَاءَ رَبُّكَ
236,236,Juz 12,12. Yusuf,,قَالَ يَابُنَيَّ لَا
237,237,Juz 12,12. Yusuf,,فَلَمَّا ذَهَبُوا بِهِ
238,238,Juz 12,12. Yusuf,,وَرَاوَدَتْهُ الَّتِي هُوَ
239,239,Juz 12,12. Yusuf,,فَلَمَّا سَمِعَتْ بِمَكْرِهِنَّ
240,240,Juz 12,12. Yusuf,,وَاتَّبَعْتُ مِلَّةَ آبَائِي
241,241,Juz 12,12. Yusuf,Juz 12 End,قَالُوا أَضْغَاثُ أَحْلَامٍ
242,242,Juz 13,12. Yusuf,Juz 13 Start,وَمَا أُبَرِّئُ نَفْسِي
243,243,Juz 13,12. Yusuf,,قَالَ هَلْ آمَنُكُمْ
244,244,Juz 13,12. Yusuf,,فَلَمَّا جَهَّزَهُمْ بِجَهَازِهِمْ
245,245,Juz 13,12. Yusuf,,قَالَ مَعَاذَ اللَّهِ
